X,Y,id,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta,MUNI
-99.1436125,19.37124347,964366,LA OAXAQUENITA,,722511,Restaurantes con servicio de preparaciOn de alimentos a la carta o de comida corrida,6 a 10 personas,CALLE,SANTA CRUZ,CALLE,JUAN ESCUTIA,CALLE,CINCO DE FEBRERO,CALLE,LIBERTAD,,SN,,,,SN,COLONIA,SAN SIMON TICUMAC,MERCADO PUBLICO,MERCADO 30 PORTALES,75 153,03660,09,CIUDAD DE MEXICO,014,Benito JuArez,0001,Benito JuArez,0651,030,,,,Fijo,19.37124347,-99.1436125,01JUL10:00:00:00,BENITO_JUAREZ
-99.20365611,19.49333152,640961,LAS OAXAQUENAS,,722518,Restaurantes que preparan otro tipo de alimentos para llevar,0 a 5 personas,CALLE,SAN JUAN TLIHUACA,PEATONAL,DEL MERCADO,CALLE,VICTOR HERNANDEZ,CALLE,FORTUNATO ZUAZUA,224,,,,78,,COLONIA,PUEBLO SAN JUAN TLIHUACA,,SAN JUAN TLIHUACA,"78, 79,",02400,09,CIUDAD DE MEXICO,002,Azcapotzalco,0001,Azcapotzalco,1004,002,,,,Fijo,19.49333152,-99.20365611,01JUL10:00:00:00,AZCAPOTZALCO
-99.15408446,19.43722852,1016875,LONCHERIA LA OAXAQUENA,LA OAXAQUENA,722511,Restaurantes con servicio de preparaciOn de alimentos a la carta o de comida corrida,0 a 5 personas,CALLE,PONCIANO ARRIAGA,CALLE,AVENIDA DE LA REPUBLICA,CALLE,TOMAS ALVA EDISON,CALLE,JOSE MARIA IGLESIAS,27,A,,,,,COLONIA,TABACALERA,,,,06030,09,CIUDAD DE MEXICO,015,CuauhtEmoc,0001,CuauhtEmoc,070A,002,5555353356,,,Fijo,19.43722852,-99.15408446,01JUL10:00:00:00,CUAUHTEMOC
-99.18473001,19.40383066,775052,LOS MACHETES DE OAXACA,,722513,Restaurantes con servicio de preparaciOn de antojitos,0 a 5 personas,CIRCUITO,BICENTENARIO (AVENIDA RE,CALLE,JOSE MARTI,CALLE,ANTONIO MACEO,AVENIDA,JALISCO,119,L 4,,,,,COLONIA,TACUBAYA,,,,11870,09,CIUDAD DE MEXICO,016,Miguel Hidalgo,0001,Miguel Hidalgo,1175,004,5559155487,,,Fijo,19.40383066,-99.18473001,01JUL10:00:00:00,MIGUEL_HIDALGO
-99.29134167,19.36057402,920095,LOS OAXAQUENOS,,722511,Restaurantes con servicio de preparaciOn de alimentos a la carta o de comida corrida,6 a 10 personas,AVENIDA,JOSE MARIA CASTORENA,CALLE,QUINTA CERRADA JOSE MARIA CASTORE,CALLE,ANTONIO ANCONA,CALLE,ANTONIO ANCONA,351,,,,,,COLONIA,CUAJIMALPA,,,,05000,09,CIUDAD DE MEXICO,004,Cuajimalpa de Morelos,0001,Cuajimalpa de Morelos,0104,025,5562779853,,,Fijo,19.36057402,-99.29134167,01DEC14:00:00:00,CUAJIMALPA
-99.13936032,19.55248489,634118,LOS SABORES OAXAQUENOS,,722513,Restaurantes con servicio de preparaciOn de antojitos,0 a 5 personas,CALLE,FRANCISCO VILLA,CALLE,MORELIA,CALLE,LA PIEDDA,CALLE,LA PIEDAD,,SN,,,,,COLONIA,LOMA LA PALMA,,,,07160,09,CIUDAD DE MEXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero,0084,023,5543340867,,,Fijo,19.55248489,-99.13936032,01JUL10:00:00:00,GUSTAVO_A._MADERO
-99.20204789,19.45442482,688745,MEMELAS LA OAXAQUENA,,722513,Restaurantes con servicio de preparaciOn de antojitos,0 a 5 personas,CALLE,LAGO VIEDMA,CALLE,LAGO CANEGUIN,CALLE,IGNACIO ALLENDE,CALLE,PONIENTE 141,108,,,PLANTA BAJA,,,COLONIA,ARGENTINA ANTIGUA,,,,11270,09,CIUDAD DE MEXICO,016,Miguel Hidalgo,0001,Miguel Hidalgo,011A,011,5553997765,,,Fijo,19.45442482,-99.20204789,01JUL10:00:00:00,MIGUEL_HIDALGO
-99.14878105,19.44164739,1013487,OAXACA EN MEXICO,,722511,Restaurantes con servicio de preparaciOn de alimentos a la carta o de comida corrida,6 a 10 personas,CALLE,VIOLETA,CALLE,GUERRERO,CALLE,ZARAGOZA,CALLE,PEDRO MORENO,92,,,,,,COLONIA,GUERRERO,,,,06350,09,CIUDAD DE MEXICO,015,CuauhtEmoc,0001,CuauhtEmoc,0610,004,5555924091,,,Fijo,19.44164739,-99.14878105,01JUL10:00:00:00,CUAUHTEMOC
-99.16164456,19.34965655,904812,OAXACA EN MEXICO,,722513,Restaurantes con servicio de preparaciOn de antojitos,0 a 5 personas,CALLE,AVENIDA MIGUEL HIDALGO,CALLE,IGNACIO ALLENDE,CALLE,ABASOLO,CALLE,MALINTZIN,299,B,,,,,COLONIA,DEL CARMEN,,,,04100,09,CIUDAD DE MEXICO,003,CoyoacAn,0001,CoyoacAn,0145,010,5555548953,,,Fijo,19.34965655,-99.16164456,01DEC14:00:00:00,COYOACAN
-99.15497288,19.42640745,1042727,OAXACA Y SUS PRODUCTOS,,722514,Restaurantes con servicio de preparaciOn de tacos y tortas,0 a 5 personas,CALLE,ABRAHAM GONZALEZ,AVENIDA,CHAPULTEPEC,CALLE,TURIN,EJE VIAL,1 PONIENTE (AVENIDA BUCARELI),8,,,,226,,COLONIA,JUAREZ,,MERCADO JUAREZ,,6600,09,CIUDAD DE MEXICO,015,CuauhtEmoc,0001,CuauhtEmoc,0856,019,5555460903,,,Fijo,19.42640745,-99.15497288,01JUL10:00:00:00,CUAUHTEMOC
-99.15607629,19.44942848,877130,OAXACAQUI,,722518,Restaurantes que preparan otro tipo de alimentos para llevar,0 a 5 personas,CALLE,DOCTOR ATL,CALLE,MANUEL CARPIO,CALLE,SALVADOR DIAZ MIRON,CALLE,DOCTOR ENRIQUE GONZALEZ MARTINEZ,205,,,,,B,COLONIA,SANTA MARIA LA RIBERA,,,,06400,09,CIUDAD DE MEXICO,015,CuauhtEmoc,0001,CuauhtEmoc,0485,001,5551507187,,,Fijo,19.44942848,-99.15607629,01JUL10:00:00:00,CUAUHTEMOC
-99.16754336,19.32561989,906011,PIZZA MIXES,,722517,"Restaurantes con servicio de preparaciOn de pizzas, hamburguesas, hot dogs y pollos rostizados par",0 a 5 personas,CALLE,XOCHIAPAN,CALLE,AMATL,CALLE,TEJAMANIL,CALLE,GUAMUCHIL,56,,,,4,,COLONIA,PEDREGAL DE SANTO DOMINGO,,,,04369,09,CIUDAD DE MEXICO,003,CoyoacAn,0001,CoyoacAn,0624,009,5556176102,,,Fijo,19.32561989,-99.16754336,01DEC14:00:00:00,COYOACAN
-99.12555893,19.43201917,999074,PRODUCTOS DE OAXACA EL TULE,,722513,Restaurantes con servicio de preparaciOn de antojitos,0 a 5 personas,CALLE,SOLEDAD,EJE VIAL,1 ORIENTE (ANILLO DE CIRCUNVALACI,CALLE,CALLEJON LECHERAS,CALLE,CORREGIDORA,65,,,,,,COLONIA,CENTRO,"TIANGUIS, BAZAR O P",PLAZA SOLEDAD,207,06090,09,CIUDAD DE MEXICO,015,CuauhtEmoc,0001,CuauhtEmoc,0786,004,5422228,,,Fijo,19.43201917,-99.12555893,01JUL10:00:00:00,CUAUHTEMOC
-99.10219381,19.46660975,677987,PRODUCTOS DE OAXACA SABOR,,722513,Restaurantes con servicio de preparaciOn de antojitos,0 a 5 personas,AVENIDA,VICTORIA ORIENTE (ORIENT,CALLE,NORTE 80,CALLE,NORTE 80-A,AVENIDA,VICTORIA ORIENTE (ORIENTE 117),4050,,,,,,COLONIA,GERTRUDIS SANCHEZ 2,,,SN,07948,09,CIUDAD DE MEXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero,1877,013,,,,Fijo,19.46660975,-99.10219381,01DEC14:00:00:00,GUSTAVO_A._MADERO
-99.19617806,19.4177818,691471,PUESTO DE TLAYUDAS SIN NOMBRE,,722513,Restaurantes con servicio de preparaciOn de antojitos,0 a 5 personas,CALLE,AVENIDA DE LOS COMPOSITO,ANDADOR,AVENIDA DE LOS COMPOSITORES,CALLE,F.C. DE CUERNAVACA (CICLOPIS,PEATONAL,NINGUNO,,SN,,,,,COLONIA,BOSQUES DE CHAPULTEPEC,,,,11000,09,CIUDAD DE MEXICO,016,Miguel Hidalgo,0001,Miguel Hidalgo,1014,014,,,,Semifi,19.4177818,-99.19617806,01DEC14:00:00:00,MIGUEL_HIDALGO
-99.09794781,19.4637741,802236,QUE LINDO ES OAXACA,,722511,Restaurantes con servicio de preparaciOn de alimentos a la carta o de comida corrida,6 a 10 personas,CALLE,NORTE 92,AVENIDA,VICTORIA ORIENTE (ORIENTE 117),CALLE,ORIENTE 115,CALLE,NORTE 94,5901,,,,,,COLONIA,GERTRUDIS SANCHEZ 2,,,SN,07849,09,CIUDAD DE MEXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero,2080,024,5555519422,,,Fijo,19.4637741,-99.09794781,01JUL10:00:00:00,GUSTAVO_A._MADERO
-99.07434354,19.39042906,803070,RESTAURANTE BAR LA FLOR DE OAXACA,,722511,Restaurantes con servicio de preparaciOn de alimentos a la carta o de comida corrida,11 a 30 personas,EJE VIAL,5 ORIENTE (JAVIER ROJO G,CALLE,ORIENTE 239-B,EJE VIAL,5 ORIENTE (JAVIER ROJO GOMEZ,CALLE,ORIENTE 239-C,421,,,,,,COLONIA,AGRICOLA ORIENTAL,,,,08500,09,CIUDAD DE MEXICO,006,Iztacalco,0001,Iztacalco,0518,008,5557161376,,,Fijo,19.39042906,-99.07434354,01JUL10:00:00:00,IZTACALCO
-99.14765833,19.40062814,962166,RESTAURANTE BAR OAXACA,,722511,Restaurantes con servicio de preparaciOn de alimentos a la carta o de comida corrida,6 a 10 personas,AVENIDA,DIAGONAL SAN ANTONIO,CALLE,DOCTOR JOSE MARIA BARRAGAN,CALLE,ZEMPOALA,CALLE,LA QUEBRADA,1817,,,,,D,COLONIA,NARVARTE,,,,03020,09,CIUDAD DE MEXICO,014,Benito JuArez,0001,Benito JuArez,0098,016,5555304859,,,Fijo,19.40062814,-99.14765833,01JUL10:00:00:00,BENITO_JUAREZ
-99.09914049,19.39745226,787165,RESTAURANTE LA FLOR DE OAXACA,,722511,Restaurantes con servicio de preparaciOn de alimentos a la carta o de comida corrida,0 a 5 personas,CIRCUITO,INTERIOR (AVENIDA RIO CH,EJE VIAL,4 SUR (TE),CALLE,CANELA,CALLE,GOMA,341,,,,,,COLONIA,GRANJAS MEXICO,,,,08400,09,CIUDAD DE MEXICO,006,Iztacalco,0001,Iztacalco,0132,015,5556491977,,,Fijo,19.39745226,-99.09914049,01JUL10:00:00:00,IZTACALCO
-99.15728017,19.40145063,956722,RESTAURANTE LA FLOR DE OAXACA,,722511,Restaurantes con servicio de preparaciOn de alimentos a la carta o de comida corrida,0 a 5 personas,CALLE,CASA DEL OBRERO MUNDIAL,CALLE,PITAGORAS,CALLE,PESTALOZZI,CALLE,ESPERANZA,363,A B,,,,,COLONIA,NARVARTE,,,,03020,09,CIUDAD DE MEXICO,014,Benito JuArez,0001,Benito JuArez,0064,008,5556381223,,,Fijo,19.40145063,-99.15728017,01JUL10:00:00:00,BENITO_JUAREZ
-99.14102974,19.36994634,973803,RESTAURANTE LA OAXAQUENA,,722511,Restaurantes con servicio de preparaciOn de alimentos a la carta o de comida corrida,6 a 10 personas,CALLE,HAMBURGO,AVENIDA,CALZADA DE TLALPAN,CALLE,BERLIN,CALLE,BREMEN,8,,,,,,COLONIA,ALBERT,,,,03560,09,CIUDAD DE MEXICO,014,Benito JuArez,0001,Benito JuArez,0670,023,5556723696,RLAOAXAQUENA@GMAIL.COM,,Fijo,19.36994634,-99.14102974,01JUL10:00:00:00,BENITO_JUAREZ
-99.14221558,19.37220729,965816,RESTAURANTE LA OAXAQUENA,,722511,Restaurantes con servicio de preparaciOn de alimentos a la carta o de comida corrida,11 a 30 personas,CALLE,LIBERTAD,AVENIDA,CALZADA DE TLALPAN,CALLE,REFORMA,CALLE,SANTA CRUZ,18,,,,,,COLONIA,SAN SIMON TICUMAC,,,,03660,09,CIUDAD DE MEXICO,014,Benito JuArez,0001,Benito JuArez,0651,028,5556720509,,,Fijo,19.37220729,-99.14221558,01JUL10:00:00:00,BENITO_JUAREZ
-99.11240825,19.36082252,661356,RESTAURANTE LA OAXAQUENA,,722511,Restaurantes con servicio de preparaciOn de alimentos a la carta o de comida corrida,11 a 30 personas,CALLE,ATANASIO G. SARABIA,CALLE,TENIENTE ROBERTO GOMEZ MORENO,CALLE,TENIENTE FAUSTO VEGA SANTAND,CALLE,ATANASIO G. SARABIA,,SN,ROBER,,,,COLONIA,ESCUADRON 201,,,,09060,09,CIUDAD DE MEXICO,007,Iztapalapa,0001,Iztapalapa,0958,008,5556702794,JAVIERPAVONORTIZ@HOTMAIL.COM,,Fijo,19.36082252,-99.11240825,01JUL10:00:00:00,IZTAPALAPA
-99.15042401,19.35145504,983731,RESTAURANTE OAXACA EN MEXICO,,722511,Restaurantes con servicio de preparaciOn de alimentos a la carta o de comida corrida,0 a 5 personas,CALLE,HEROES DEL 47,PRIVADA,VILLAMAR,CALLE,CONVENTO DE CHURUBUSCO,CALLE,AVENIDA MIGUEL HIDALGO,121,,,,,,COLONIA,PARQUE SAN ANDRES,,,,04030,09,CIUDAD DE MEXICO,003,CoyoacAn,0001,CoyoacAn,0060,006,5556010049,,,Fijo,19.35145504,-99.15042401,01JUL10:00:00:00,COYOACAN
-99.11920479,19.47606951,788203,RESTAURANTE OAXAQUENO TANGUYU,,722511,Restaurantes con servicio de preparaciOn de alimentos a la carta o de comida corrida,11 a 30 personas,CALLE,JOYAS,CALLE,AZABACHE,CALLE,AMATISTA,CALLE,TESORO,23,,,,,SN,COLONIA,ESTRELLA,,,,07810,09,CIUDAD DE MEXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero,1792,012,5557819705,TANGUYU@LIVE.COM.MX,,Fijo,19.47606951,-99.11920479,01JUL10:00:00:00,GUSTAVO_A._MADERO
-99.14617523,19.43947708,890135,RESTAURANTE SIN NOMBRE,COMIDA OAXAQUENA,722511,Restaurantes con servicio de preparaciOn de alimentos a la carta o de comida corrida,0 a 5 personas,CALLE,MINA,AVENIDA,PASEO DE LA REFORMA,CALLE,ZARCO,CALLE,VIOLETA,110,A,,,,,COLONIA,GUERRERO,,,,06300,09,CIUDAD DE MEXICO,015,CuauhtEmoc,0001,CuauhtEmoc,0625,001,,,,Fijo,19.43947708,-99.14617523,01DEC14:00:00:00,CUAUHTEMOC
-99.15269754,19.43290703,1016370,RESTAURANTE TIPICO AQUI EN OAXACA.,,722511,Restaurantes con servicio de preparaciOn de alimentos a la carta o de comida corrida,0 a 5 personas,AVENIDA,MORELOS,AVENIDA,PASEO DE LA REFORMA,CALLE,ABRAHAM GONZALEZ,CALLE,DONATO GUERRA,89,A,89,PLANTA BAJA,,,COLONIA,JUAREZ,,,,06600,09,CIUDAD DE MEXICO,015,CuauhtEmoc,0001,CuauhtEmoc,0803,011,5555350334,RESTAURANTESAQUIESOAXACA@HOTM,,Fijo,19.43290703,-99.15269754,01JUL10:00:00:00,CUAUHTEMOC
-99.1454477,19.43139705,988567,RESTAURANTE TIPICO OAXACA EN MEXICO,,722511,Restaurantes con servicio de preparaciOn de alimentos a la carta o de comida corrida,0 a 5 personas,CALLE,LUIS MOYA,CALLE,AYUNTAMIENTO,CALLE,VICTORIA,CALLE,REVILLAGIGEDO,59,,,,,,COLONIA,CENTRO,,,,06010,09,CIUDAD DE MEXICO,015,CuauhtEmoc,0001,CuauhtEmoc,0748,022,5555104021,,,Fijo,19.43139705,-99.1454477,01JUL10:00:00:00,CUAUHTEMOC
-99.13602818,19.43446933,1006722,RESTAUTRANTE BAR SAZON OAXAQUENO,,722511,Restaurantes con servicio de preparaciOn de alimentos a la carta o de comida corrida,11 a 30 personas,CALLE,ISABEL LA CATOLICA,CALLE,TACUBA,CALLE,5 DE MAYO,CALLE,PALMA,10,,,,,,COLONIA,CENTRO,,,,06000,09,CIUDAD DE MEXICO,015,CuauhtEmoc,0001,CuauhtEmoc,0771,019,5555213282,SAZONOAXACA@HOTAIL.COM,,Fijo,19.43446933,-99.13602818,01JUL10:00:00:00,CUAUHTEMOC
-99.10736953,19.4307778,660290,RINCON OAXAQUENO,,722511,Restaurantes con servicio de preparaciOn de alimentos a la carta o de comida corrida,0 a 5 personas,CALLE,CARLOS SANTANA,CALLE,LUIS PRECIADO DE LA TORRE,CALLE,MARTINEZ DE ALBA,CALLE,NINGUNO,,SN,,,,,COLONIA,MOCTEZUMA 1A SECCION,,,,15500,09,CIUDAD DE MEXICO,017,Venustiano Carranza,0001,Venustiano Carranza,0526,013,5557849382,,,Fijo,19.4307778,-99.10736953,01JUL10:00:00:00,VENUSTIANO_CARRANZA
-99.00893593,19.25258325,1040617,TAQUERIA EL OAXACO,,722514,Restaurantes con servicio de preparaciOn de tacos y tortas,0 a 5 personas,AVENIDA,DIVISION DEL NORTE,CALLE,MIXCALCO,CALLE,NICOLAS BRAVO,CALLE,AVENIDA DE LA PAZ,,SN,,,,,BARRIO,CALYEQUITA,,,,16750,09,CIUDAD DE MEXICO,013,Xochimilco,0001,Xochimilco,0565,009,,,,Fijo,19.25258325,-99.00893593,01JUL10:00:00:00,XOCHIMILCO
-99.22357294,19.37451477,1033276,TAQUERIA LA FOGATA AYUUUJK,,722514,Restaurantes con servicio de preparaciOn de tacos y tortas,0 a 5 personas,PROLONGAC,LERDO DE TEJADA,CALLE,PUERTO SAN JOSE,CALLE,PUERTO ESCONDIDO,CALLE,PUERTO ESCONDIDO,17,MZ 1,,,,SN,COLONIA,1 AMPLIACION PRESIDENTE,,,,01290,09,CIUDAD DE MEXICO,010,Alvaro ObregOn,0001,Alvaro ObregOn,1580,060,,,,Fijo,19.37451477,-99.22357294,01DEC14:00:00:00,ALVARO_OBREGON
-99.16361341,19.3299897,996958,TAQUERIA LA LUPITA MIXE,,722514,Restaurantes con servicio de preparaciOn de tacos y tortas,0 a 5 personas,AVENIDA,ESCUINAPA,CALLE,PAPALOTL,CALLE,CANAHUTLI,CALLE,ATEPOCATL,285,,,,,SN,COLONIA,PEDREGAL DE SANTO DOMINGO,,,,04369,09,CIUDAD DE MEXICO,003,CoyoacAn,0001,CoyoacAn,0639,023,,,,Fijo,19.3299897,-99.16361341,01JUL10:00:00:00,COYOACAN
-99.23755565,19.36736925,923028,TAQUERIA LA OAXAQUENA,,722514,Restaurantes con servicio de preparaciOn de tacos y tortas,0 a 5 personas,AVENIDA,TAMAULIPAS,CALLE,ENCINO,ANDADOR,ROBLE,CALLE,ROBLE,23,,,,,,COLONIA,GARCIMARRERO NORTE,,,,01510,09,CIUDAD DE MEXICO,010,Alvaro ObregOn,0001,Alvaro ObregOn,053A,026,,,,Fijo,19.36736925,-99.23755565,01DEC14:00:00:00,ALVARO_OBREGON
-99.12470345,19.32407758,1060406,TAQUERIA LA SIERRA DE OAXACA,,722514,Restaurantes con servicio de preparaciOn de tacos y tortas,6 a 10 personas,EJE VIAL,2 ORIENTE (HEROICA ESCUE,CALLE,MANUELA SAENZ,CERRADA,3 J. M. GONZALEZ,CALLE,AVENIDA ALFREDO V. BONFIL,,SN,,,,,COLONIA,PRESIDENTES EJIDALES,,,,04470,09,CIUDAD DE MEXICO,003,CoyoacAn,0001,CoyoacAn,1707,019,5557899015,,,Fijo,19.32407758,-99.12470345,01JUL10:00:00:00,COYOACAN
-99.14056698,19.52513498,655562,TAQUERIA LAS BRASITAS MIXE,,722514,Restaurantes con servicio de preparaciOn de tacos y tortas,0 a 5 personas,AVENIDA,PUERTO MAZATLAN,AVENIDA,PUERTO MAZATLAN,CALLE,JAVIER SOLIS,CALLEJON,L. F.,110,,,,,,COLONIA,JORGE NEGRETE,,,,07280,09,CIUDAD DE MEXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero,0328,015,,,,Fijo,19.52513498,-99.14056698,01JUL10:00:00:00,GUSTAVO_A._MADERO
-99.11282143,19.39793206,787212,TAQUERIA LOS MIXES,,722514,Restaurantes con servicio de preparaciOn de tacos y tortas,0 a 5 personas,EJE VIAL,4 SUR (PLUTARCO ELIAS CA,CERRADA,318,EJE VIAL,3 ORIENTE (FRANCISCO DEL PAS,CALLE,TONACINTLA,318,,,,,,COLONIA,PRESIDENTE PLUTARCO ELIAS C,,,,08710,09,CIUDAD DE MEXICO,006,Iztacalco,0001,Iztacalco,0414,016,,,,Fijo,19.39793206,-99.11282143,01JUL10:00:00:00,IZTACALCO
-99.17201063,19.32890891,992571,TAQUERIA LOS MIXES,,722514,Restaurantes con servicio de preparaciOn de tacos y tortas,0 a 5 personas,CALLE,ANACAHUITA,ANDADOR,NINGUNO,ANDADOR,PRIMERA,AVENIDA,ANTONIO DELFIN MADRIGAL,232,,,,,,COLONIA,PEDREGAL DE SANTO DOMINGO,,,,04369,09,CIUDAD DE MEXICO,003,CoyoacAn,0001,CoyoacAn,061A,004,,,,Fijo,19.32890891,-99.17201063,01JUL10:00:00:00,COYOACAN
